What is the primary role of an operating system (OS) as described in the text?,To manage hardware sales and distribution.,To provide an environment for program execution.,To write application software for users.,To design computer hardware components.,"To exclusively run a single, dedicated application.",B,The text states: 'An operating system (OS) provides the environment for program execution.'
What kind of synchronization construct is a 'monitor'?,A low-level hardware instruction.,A software algorithm prone to instruction reordering.,An abstract data type (ADT) for high-level synchronization.,A simple binary flag for mutual exclusion.,A specialized CPU register.,C,"Monitors are described as an abstract data type (ADT) that provides a high-level approach to process synchronization, encapsulating shared data and operations on that data."
What is the primary purpose of 'monitors' in the context of process synchronization?,To directly manage CPU scheduling queues.,To provide a high-level form of process synchronization.,To enforce strict memory access patterns at the hardware level.,To replace the need for critical sections entirely.,To solely detect and resolve deadlocks in a system.,B,"Monitors are designed to simplify the complex aspects of process synchronization by providing a structured, high-level mechanism that typically handles mutual exclusion implicitly."
"Within monitors, what is the function of 'condition variables'?",To count the number of processes currently inside the monitor.,To directly provide mutual exclusion for the monitor's code.,To allow processes to wait for specific conditions to become true and to signal other processes when those conditions are met.,To store the shared data that the monitor protects.,To act as an alternative to mutex locks outside the monitor.,C,"Condition variables within monitors enable processes to suspend themselves if a condition is not met (wait) and to be awakened by another process when that condition changes (signal), facilitating more complex synchronization logic."
"Solutions to the critical-section problem, while providing synchronization, may sometimes suffer from which category of undesirable issues?",Compiler errors,Hardware malfunctions,Liveness problems,Network latency,User interface freezes,C,"Even if a critical-section solution correctly implements mutual exclusion, progress, and bounded waiting, it can still lead to 'liveness problems' such as deadlock or starvation, where processes are unable to make progress."
Which of the following are examples of 'liveness problems' that can arise in concurrent systems?,Race condition and data corruption,Mutual exclusion and progress,Deadlock and starvation,Instruction reordering and memory barriers,Acquire and release operations,C,"Deadlock (processes indefinitely waiting for each other) and starvation (a process being indefinitely denied access to a resource) are classic examples of liveness problems, where processes cease to make forward progress."
How are various synchronization tools often evaluated to understand their performance characteristics?,Based solely on their lines of code.,"Under different contention levels (e.g., uncontended, moderate, high).",By the number of CPU cores available.,Strictly on their ability to prevent data corruption.,By their historical significance in computing.,B,Synchronization tools are often evaluated under varying levels of 'contention' (how many processes are trying to access the shared resource simultaneously) because their performance can differ significantly depending on the load.
What is generally observed about the performance of synchronization tools when evaluated under specific contention loads?,All synchronization tools perform identically regardless of the contention level.,Performance only improves as contention increases.,"Some tools perform better than others under specific contention loads (e.g., uncontended, moderate, high).",Contention levels have no measurable impact on synchronization tool performance.,Only hardware-based tools are affected by contention.,C,"The performance of synchronization tools is not uniform; some tools are optimized for low contention scenarios, while others might be more robust or efficient under high contention, leading to varying performance across different loads."
What is the primary objective of the critical-section problem?,Ensuring processes run at the same speed.,Designing a protocol for n processes to cooperatively share data and synchronize activity.,Preventing any process from accessing shared data.,Allowing multiple processes to update shared data simultaneously without control.,Minimizing the total number of processes in a system.,B,The critical-section problem is defined as designing a protocol for n processes to cooperatively share data and synchronize activity.
Which fundamental rule applies to a process's critical section?,Any number of processes can be in their critical sections simultaneously.,Processes must request permission to enter but can be denied indefinitely.,Only one process is allowed in its critical section at any given time.,"Shared data can only be read, not updated, within the critical section.",Processes must immediately exit the critical section if another process requests entry.,C,"A key rule for the critical section is that only one process is allowed in its critical section at any given time, which is known as mutual exclusion."
"In the context of the critical-section protocol, what is the role of the ""entry section""?",To cleanly exit the critical section.,To access and update shared data.,To request permission to enter the critical section.,To perform all other non-critical-section code.,To synchronize processes outside of shared data access.,C,The entry section is the code segment within a process that requests permission to enter the critical section.
"What is the primary function of the ""exit section"" in the critical-section protocol?",To wait for other processes to finish their critical sections.,To request entry into the critical section.,To cleanly exit the critical section.,To handle all non-shared data operations.,To signal that a process is ready to enter its critical section.,C,The exit section is the code responsible for cleanly exiting the critical section.
Which part of a process's structure in the critical-section protocol includes all other code not related to shared data access or synchronization?,Entry section.,Critical section.,Exit section.,Remainder section.,Synchronization section.,D,"The remainder section encompasses all other code that is not part of the entry, critical, or exit sections."
The critical section of a process is specifically defined as the code segment where:,Processes request permission to access resources.,Shared data is accessed and updated.,Processes wait for other operations to complete.,Only non-shared data computations occur.,Processes signal their completion to the operating system.,B,The critical section is the specific code segment where shared data is accessed and updated.
"According to the general process structure for handling critical sections, what is the correct sequence of sections within a continuous loop?","Critical section, Entry section, Exit section, Remainder section.","Entry section, Critical section, Exit section, Remainder section.","Remainder section, Entry section, Critical section, Exit section.","Exit section, Remainder section, Entry section, Critical section.","Entry section, Exit section, Critical section, Remainder section.",B,"The general process structure flows from entry section, to critical section, then exit section, and finally the remainder section within a loop."
"Which requirement for a critical-section problem solution states that if process P_i is executing in its critical section, then no other process is allowed to be executing in its critical section?",Progress.,Bounded Waiting.,Deadlock Avoidance.,Mutual Exclusion.,Fairness.,D,Mutual exclusion is the requirement that ensures only one process can be in its critical section at any given time.
"Under the ""Progress"" requirement for a critical-section solution, if no process is in its critical section and some processes wish to enter, which processes are allowed to participate in deciding who enters next?",All processes in the system.,Only processes currently in their critical sections.,Only processes not in their remainder sections.,Processes that have been waiting the longest.,Any process that has previously entered its critical section.,C,The progress requirement specifies that only processes not in their remainder sections can participate in deciding who enters the critical section next.
"A key aspect of the ""Progress"" requirement for a critical-section solution is that the selection of which process will enter its critical section next cannot be:",Made by a single process.,Dependent on process priority.,Postponed indefinitely.,Changed once decided.,Based on random chance.,C,The progress requirement ensures that the selection of the next process to enter its critical section cannot be postponed indefinitely.
"The ""Bounded Waiting"" requirement for a critical-section solution ensures that:",A process can wait indefinitely to enter its critical section.,There is a limit on how many times other processes can enter their critical sections after a process requests entry and before its request is granted.,Processes are guaranteed to enter their critical section within a fixed time frame.,No process ever has to wait to enter its critical section.,Processes are always granted access in the order they requested it.,B,Bounded waiting dictates that a limit exists on how many times other processes can enter their critical sections after a process has requested entry and before its request is granted.
What assumptions are made about process execution speeds in the context of critical-section solutions?,All processes execute at the same speed.,"Processes execute at varying, unpredictable speeds.","Each process executes at a nonzero speed, with no assumptions about relative speeds.",Processes must execute at a minimum specific speed to ensure correctness.,Faster processes are always prioritized for critical section entry.,C,"It is assumed that each process executes at a nonzero speed, but no assumptions are made about their relative speeds."
"Many kernel-mode processes are active in the OS, making kernel code particularly susceptible to what type of concurrency issue?",Deadlock.,Starvation.,Race conditions.,Livelock.,Priority inversion.,C,"Kernel code, due to multiple active kernel-mode processes, is highly susceptible to race conditions."
Which of the following is cited as an example of a kernel data structure susceptible to race conditions when multiple processes are involved?,A user's personal document folder.,The kernel data structure for open files.,The system clock counter used for timekeeping.,A process's private stack memory.,The network configuration settings.,B,"The kernel data structure for open files, which is modified when files are opened or closed, is given as an example susceptible to race conditions."
"A race condition can occur when two processes use the `fork()` system call, specifically on which kernel variable?",`system_call_counter`.,`user_id_pool`.,`next_available_pid`.,`memory_page_count`.,`file_descriptor_limit`.,C,"When two processes simultaneously use `fork()`, a race condition can occur on the `next_available_pid` kernel variable, potentially assigning the same PID."
What is a critical responsibility of kernel developers regarding shared kernel data structures?,To ensure kernel data structures are always publicly accessible.,To prevent any process from ever entering kernel mode.,To ensure the OS is free from race conditions on kernel data.,To allow multiple processes to modify kernel data simultaneously without synchronization.,To minimize the size of all kernel data structures.,C,"Kernel developers have the crucial responsibility to ensure that the operating system is free from race conditions, especially on shared kernel data structures."
How could the critical-section problem theoretically be solved in a single-core processor environment?,By allowing multiple processes to enter their critical sections simultaneously.,By always giving the highest priority to the process requesting entry.,By preventing interrupts during shared variable modification.,By increasing the CPU speed during critical section execution.,By using separate memory spaces for shared variables.,C,"In a single-core environment, preventing interrupts during shared variable modification ensures that the current instruction sequence executes without preemption, solving the critical-section problem."
Disabling interrupts to solve the critical-section problem is less feasible on multiprocessor systems primarily because:,It is impossible to disable interrupts on multiple processors.,It significantly simplifies the system design.,It is time-consuming as messages must be sent to all processors.,Multiprocessors do not use interrupts.,It only works for read-only critical sections.,C,"On multiprocessor systems, disabling interrupts is time-consuming because a message must be sent to all processors, making the approach less feasible."
"Beyond being time-consuming, what other negative effect does disabling interrupts on a multiprocessor system have when attempting to solve the critical-section problem?",It forces processes into a deadlock.,It speeds up the system clock.,It delays critical section entry and decreases system efficiency.,It guarantees bounded waiting for all processes.,It makes the system more responsive.,C,"Disabling interrupts on multiprocessor systems can delay critical section entry and decrease overall system efficiency, and can also affect the system clock if updated by interrupts."
What is a defining characteristic of a preemptive kernel?,It prevents any process from entering kernel mode.,It ensures that processes cannot be interrupted while in user mode.,It allows a process to be preempted while running in kernel mode.,It only allows one process to ever be in kernel mode at a time.,It eliminates the need for any synchronization mechanisms.,C,A preemptive kernel is defined by its ability to allow a process to be preempted even while it is running in kernel mode.
Which of the following is an advantage of using a preemptive kernel?,It completely eliminates the possibility of race conditions.,It simplifies the design of shared kernel data structures.,It is inherently free from race conditions on kernel data.,It is more responsive and suitable for real-time programming.,It guarantees that all processes run at the same speed.,D,"Preemptive kernels offer advantages such as being more responsive (reducing long kernel-mode runs) and being more suitable for real-time programming, as real-time processes can preempt kernel processes."
How does a nonpreemptive kernel typically handle a process running in kernel mode?,It allows the process to be preempted at any point.,It forces the process to yield the CPU after a fixed time slice.,"It does not allow the process to be preempted and runs until it exits kernel mode, blocks, or voluntarily yields CPU.",It immediately moves the process to user mode upon entry to the kernel.,It only allows read-only operations in kernel mode.,C,"A nonpreemptive kernel does not allow a process running in kernel mode to be preempted; the process runs until it exits kernel mode, blocks, or voluntarily yields control of the CPU."
What is a significant characteristic of nonpreemptive kernels regarding race conditions on kernel data structures?,They are highly susceptible to race conditions due to frequent context switches.,They are essentially free from race conditions on kernel data structures.,They require complex locking mechanisms for every kernel operation.,They can only be used in single-core environments.,They allow multiple processes to modify shared kernel data simultaneously.,B,"Nonpreemptive kernels are essentially free from race conditions on kernel data structures because only one process is active in the kernel at any given time, preventing simultaneous access to shared kernel data."
What is Peterson's solution primarily designed to address?,Memory management issues in operating systems.,The critical-section problem in concurrent programming.,Deadlock prevention in distributed systems.,Efficient data storage and retrieval.,Inter-process communication using message passing.,B,Peterson's solution is defined as a classic software-based solution to the critical-section problem.
On which types of architectures is Peterson's solution generally not guaranteed to work correctly?,Legacy single-core processors.,Embedded systems with limited memory.,Modern multi-core processors.,Mainframe computers running batch jobs.,Virtual machines in a cloud environment.,C,The text states Peterson's solution is 'Not guaranteed to work correctly on modern architectures due to reordering of `load` and `store` instructions.'
"For what reason is Peterson's solution still presented in academic contexts, despite its limitations on modern hardware?",It is the only known software-based solution.,"It provides a simple, direct solution for real-world production systems.","It illustrates complexities in designing software for mutual exclusion, progress, and bounded waiting.",It is highly efficient for large numbers of processes.,It serves as a benchmark for hardware-based solutions.,C,"The text mentions it's 'Presented for its algorithmic description and illustration of complexities in designing software for mutual exclusion, progress, and bounded waiting.'"
What is the scope of processes for which Peterson's solution is restricted?,Any number of processes.,"Exactly two processes (P0, P1).",Up to N processes where N is a small integer.,Only processes that run on different CPUs.,Processes that do not share any data.,B,"The scope of Peterson's solution is 'Restricted to two processes (P0, P1) that alternate execution between critical and remainder sections.'"
"In the notation used for Peterson's solution, if we are discussing process Pi, what does Pj represent?",The process that executed last.,The next process in a queue.,The other process (j = 1 - i).,A process that has already finished its critical section.,A placeholder for any generic process.,C,"The notation states: 'When discussing Pi, Pj denotes the other process (i.e., j = 1 - i).'"
What is the purpose of the shared 'turn' variable in Peterson's solution?,To count how many times a process has entered its critical section.,To indicate which process is currently executing in its remainder section.,To specify whose turn it is to enter the critical section.,To store a random value for process arbitration.,To signal if a deadlock has occurred.,C,The text states: '`turn`: Indicates whose turn it is to enter the critical section (`turn == i` means Pi can enter).'
What does 'flag[i] == true' signify for process Pi in Peterson's solution?,Process Pi is currently in its critical section.,Process Pi has completed its execution.,Process Pi is ready to enter its critical section.,Process Pi is currently in its remainder section.,Process Pi has encountered an error.,C,The text states: '`flag` array: Indicates if a process is ready to enter its critical section (`flag[i] == true` means Pi is ready).'
"According to Peterson's algorithm, what are the first two statements a process Pi executes when it intends to enter its critical section?",`turn = j; flag[i] = true;`,`flag[i] = false; turn = i;`,`flag[j] = true; turn = i;`,`flag[i] = true; turn = j;`,`while (flag[j] && turn == j);`,D,The algorithm for process Pi shows: `flag[i] = true; turn = j;` as the initial steps within the `while(true)` loop before the inner `while` loop.
What is the purpose of the inner `while` loop `while (flag[j] && turn == j);` in Peterson's algorithm for process Pi?,To ensure process Pi completes its remainder section.,To block process Pi if the other process Pj is also trying to enter and it's Pj's turn.,To set the 'turn' variable to Pi's identifier.,To signal that Pi is ready to exit its critical section.,To prevent deadlocks by arbitrarily assigning 'turn'.,B,"This loop causes Pi to wait. Pi waits if Pj is ready (`flag[j] == true`) AND it's Pj's turn (`turn == j`), enforcing mutual exclusion and correct turn-taking."
Which statement is executed by process Pi immediately after exiting its critical section in Peterson's algorithm?,`turn = j;`,`flag[j] = false;`,`flag[i] = false;`,`while (true);`,Re-enters the `while (flag[j] && turn == j)` loop.,C,The algorithm shows `flag[i] = false;` immediately after the critical section.
What happens if both processes (P0 and P1) attempt to enter their critical sections concurrently in Peterson's solution?,Both are immediately granted access.,"A deadlock occurs, preventing either from entering.","The 'turn' variable is set by both, and the final value determines which enters first.",They randomly decide which one enters first.,The system crashes due to a race condition.,C,"The 'Entry Mechanism' section states: 'If both processes try to enter concurrently, `turn` is set to both `i` and `j` almost simultaneously. Only one `turn` assignment will persist; the final value determines which process enters first.'"
"Under what condition can process Pi enter its critical section, according to Peterson's solution's proof of correctness for mutual exclusion?",Only if `turn == j` and `flag[j] == true`.,Only if `flag[j] == false` OR `turn == i`.,Only if both `flag[i] == true` and `flag[j] == true`.,Only if `turn` is undefined.,Only if it has priority over Pj.,B,The 'Proof of Correctness' section for 'Mutual exclusion is preserved' states: 'Pi enters critical section only if `flag[j] == false` OR `turn == i`.'
"If both P0 and P1 were somehow simultaneously in their critical sections using Peterson's solution, which of the following statements about `flag` values would be true?",`flag[0] == false` and `flag[1] == false`,"`flag[0]` could be true or false, but `flag[1]` must be true.",`flag[0] == true` and `flag[1] == true`,The `flag` array would be indeterminate.,Only one `flag` could be true at any given time.,C,"The 'Proof of Correctness' for mutual exclusion states: 'If both P0 and P1 are in critical sections, then `flag[0] == true` and `flag[1] == true`.' This is a premise for proving why it cannot happen under correct execution."
How is the progress requirement satisfied in Peterson's solution?,A process Pi is never prevented from entering its critical section.,"Pi is prevented only if Pj is also trying to enter, but Pi will eventually enter once Pj exits or its turn arrives.","Progress is guaranteed by strictly alternating turns, regardless of readiness.",Processes can only enter their critical sections at fixed time intervals.,"It's not satisfied, leading to potential starvation.",B,"The 'Progress requirement is satisfied' section explains that Pi is blocked only under specific conditions (Pj ready and it's Pj's turn), and once Pj exits its critical section or Pj sets `turn = i` upon re-entry, Pi will eventually enter."
"What is the upper bound on waiting for a process Pi to enter its critical section in Peterson's solution, assuming Pj is also contending?",Pi will enter immediately without any waiting.,"Pi will wait indefinitely, leading to starvation.",Pi will enter after at most one entry by Pj.,Pi will enter after Pj has entered its critical section an arbitrary number of times.,The waiting time is proportional to the number of available CPU cores.,C,"The 'Bounded-waiting requirement is met' section states: 'As shown above, Pi will enter after at most one entry by Pj.'"
Why do modern processors and compilers reorder read/write operations?,To intentionally break existing synchronization algorithms.,To reduce power consumption.,To improve performance by optimizing instruction execution.,To simplify debugging of multithreaded applications.,To ensure strict sequential consistency for all operations.,C,The text states: 'Processors/compilers may reorder read/write operations without data dependencies for performance.'
"In what scenario does reordering of instructions become problematic, leading to inconsistent or unexpected results?",In single-threaded applications.,In applications with purely local variables.,In multithreaded applications with shared data.,When using only integer arithmetic.,"Only during program compilation, not execution.",C,"The text explicitly states: 'For multithreaded apps with shared data, reordering can lead to inconsistent/unexpected results.'"
"Consider Thread 1: `while (!flag); print x;` and Thread 2: `x = 100; flag = true;`. If Thread 2's instructions are reordered to `flag = true; x = 100;`, what is a possible outcome for Thread 1?",Thread 1 will always print 100.,Thread 1 will print 0.,Thread 1 will cause a segmentation fault.,Thread 1 will enter an infinite loop.,Thread 1 will print a random garbage value.,B,The reordering example states: 'Thread 1 could print 0 if `flag` is set before `x` is updated.'
"How can instruction reordering specifically impact Peterson's solution, leading to a failure of its correctness properties?",It can cause the 'turn' variable to become negative.,It can make processes skip their remainder sections.,It can lead to both threads being in their critical sections simultaneously if the initial assignments are reordered.,"It only affects the performance, not the correctness, of Peterson's solution.",It prevents the 'flag' array from being initialized correctly.,C,The 'Impact on Peterson's Solution' section states: 'If the first two statements in Peterson's entry section (`flag[i] = true; turn = j;`) are reordered. It's possible for both threads to be in their critical sections simultaneously.'
What is the ultimate conclusion drawn regarding the use of Peterson's solution and similar algorithms on modern systems?,They are perfectly safe to use as-is.,They should only be used in single-threaded environments.,Proper synchronization tools are necessary to preserve mutual exclusion.,They can be fixed by simply adding more `while` loops.,They demonstrate that software-based solutions are inherently flawed.,C,The conclusion section states: 'Proper synchronization tools are necessary to preserve mutual exclusion.'
"Why are software-based synchronization solutions, such as Peterson's, not guaranteed on modern computer architectures?",They are too complex to implement efficiently.,They rely on specific compiler optimizations that are not universal.,"Modern architectures may reorder instructions, leading to unreliable data states.","They require excessive CPU cycles, causing performance degradation.",They are vulnerable to external hardware interrupts.,C,"The text states that software-based solutions are not guaranteed on modern architectures because systems may reorder instructions, leading to unreliable data states. This is the core problem hardware support addresses."
What is the primary problem that memory barriers are designed to solve in multi-processor systems?,Preventing deadlocks between multiple processes.,Ensuring fair access to shared resources among threads.,Addressing unreliable data states caused by instruction reordering.,Reducing context switching overhead in the operating system.,Managing cache coherency across different CPU levels.,C,"The text explicitly identifies the 'Problem' memory barriers solve as: 'Systems may reorder instructions, leading to unreliable data states.'"
"According to the text, which of the following best defines a 'memory model' in computer architecture?",A blueprint for designing memory chips.,A specification for how memory is addressed by the CPU.,The way a computer architecture guarantees memory visibility to applications.,The physical layout of RAM modules on a motherboard.,A strategy for optimizing virtual memory usage.,C,The glossary defines 'memory model' as 'How a computer architecture guarantees memory visibility to applications.'
"In a strongly ordered memory model, what is guaranteed regarding memory modifications?",Memory modifications are cached on the local processor only.,Memory modifications on one processor are immediately visible to all others.,Memory modifications are delayed until a synchronization point is reached.,Memory modifications are restricted to atomic operations.,Memory modifications are buffered before propagation.,B,The text defines a 'Strongly ordered' memory model as one where 'Memory modification on one processor is immediately visible to all others.'
What characteristic distinguishes a weakly ordered memory model from a strongly ordered one?,Memory modifications are always faster.,Memory modifications are always slower.,Memory modifications on one processor may not be immediately visible to others.,Memory modifications are globally consistent by default.,Memory modifications require explicit flushing to storage.,C,The text defines a 'Weakly ordered' memory model as one where 'Memory modifications on one processor may not be immediately visible to others.'
Why do kernel developers need to be concerned about memory modification visibility on shared-memory multiprocessors?,Because varying memory models make assumptions about visibility unreliable.,"Because memory is always strongly ordered, requiring explicit weak ordering.",Because cache memory needs to be manually invalidated.,Because all memory operations are inherently atomic.,Because memory access patterns are unpredictable.,A,"The text states, 'Kernel developers cannot assume memory modification visibility on shared-memory multiprocessors due to varying memory models.'"
What is the primary function of a memory barrier (or memory fence) instruction?,To halt all CPU operations until a specific flag is set.,To force memory changes to propagate to all other processors.,To allocate a contiguous block of memory for critical data.,To encrypt data before it is written to memory.,To provide a virtual boundary for memory protection.,B,The text defines 'Memory barriers (or memory fences)' as 'instructions that force memory changes to propagate to all other processors.'
"When a memory barrier is performed, what guarantees does it provide regarding memory operations?",All subsequent loads and stores are completed before any preceding operations.,"Only store operations are completed, not loads.",All preceding loads and stores are completed before any subsequent load or store operations.,Only operations on volatile memory are affected.,It ensures cache coherency but not memory visibility.,C,"The text states, 'When a memory barrier is performed, all preceding loads and stores are completed before any subsequent load or store operations.'"
"How can memory barriers specifically benefit shared-memory programming, even if instructions are reordered?",By automatically rolling back reordered instructions.,By ensuring store operations are completed and visible before future operations.,By increasing the speed of memory access.,By allowing threads to access memory in any order.,By reducing the number of memory accesses.,B,"The text explains the 'Benefit' as: 'Even if instructions are reordered, memory barriers ensure store operations are completed and visible before future operations.'"
"In the provided example for Thread 1 (`while (!flag) memory_barrier(); print x;`), what does the `memory_barrier()` guarantee?",`x` is printed before `flag` is loaded.,`flag` is loaded before `x` is printed.,The loop will execute only once.,The `flag` variable is always true.,`x` is assigned a value of 100.,B,The text states for this specific example: 'Guarantees `flag` is loaded before `x`.'
"In the provided example for Thread 2 (`x = 100; memory_barrier(); flag = true;`), what does the `memory_barrier()` ensure?",`flag` is set to `true` before `x` is assigned.,The assignment to `x` occurs before the assignment to `flag`.,`x` is visible to all other processors immediately.,Both assignments are executed in parallel.,The program will terminate after these statements.,B,The text states for this specific example: 'Ensures assignment to `x` occurs before assignment to `flag`.'
"Where specifically could a memory barrier be placed in Peterson's Solution to prevent instruction reordering, according to the text?",At the very beginning of the critical section.,"After the critical section, before the remainder section.",Between the first two assignment statements in the entry section.,At the end of the remainder section.,Inside the `while` loop condition.,C,The text suggests placing a memory barrier 'between the first two assignment statements in the entry section' of Peterson's Solution.
What is a characteristic of memory barriers regarding their typical usage?,They are high-level operations for general application developers.,They are primarily used for debugging memory leaks.,"They are low-level operations, typically used by kernel developers.",They are used to manage virtual memory paging.,They are implemented solely in software.,C,"The text states: 'Memory barriers are low-level operations, typically used by kernel developers for specialized mutual exclusion code.'"
What does it mean for a computer activity or CPU instruction to operate 'atomically'?,It can be interrupted by other processes.,It operates as one uninterruptible unit.,It is executed in parallel across multiple cores.,It only involves operations on single bits.,It consumes minimal power.,B,The glossary defines 'atomically' as 'A computer activity (such as a CPU instruction) that operates as one uninterruptable unit.'
What is the primary benefit of modern systems providing special hardware instructions like `test_and_set()` and `compare_and_swap()`?,They reduce the amount of physical memory required.,They simplify critical-section problem solving.,They enhance network communication speeds.,They provide stronger encryption for data.,They enable faster file system operations.,B,"The text states, 'These instructions simplify critical-section problem solving.'"
"Consider the definition of `test_and_set(boolean *target)`. What value is returned by this function, and what value is assigned to `*target`?","Returns `true`, sets `*target` to `false`.","Returns the new value of `*target` (which is `true`), sets `*target` to `true`.","Returns the original value of `*target`, sets `*target` to `true`.","Returns `false`, sets `*target` to the original value.","Returns `true` if `*target` was `false`, otherwise `false`, sets `*target` to `true`.",C,"The provided definition of `test_and_set` shows `boolean rv = *target; *target = true; return rv;`. This means it saves the original value to `rv`, sets `*target` to `true`, and then returns the saved original value."
"If two `test_and_set()` instructions attempt to run simultaneously on different cores, how do they behave?","They both execute in parallel, leading to a race condition.",They are both aborted by the operating system.,They execute sequentially in an arbitrary order.,"Only one is allowed to execute, the other is discarded.","They deadlock, preventing further execution.",C,"The text states, 'If two `test_and_set()` instructions run simultaneously (on different cores), they execute sequentially in an arbitrary order.' This is a characteristic of atomic operations."
"In the `test_and_set()` based mutual exclusion implementation, what is the purpose of the `while (test_and_set(&lock))` loop?",To acquire the lock and enter the critical section.,To release the lock after exiting the critical section.,To repeatedly attempt to acquire the lock until successful.,To verify that the lock is still held by the current process.,To initialize the `lock` variable to `false`.,C,"The `while (test_and_set(&lock))` loop causes a process to busy-wait, repeatedly trying to set `lock` to `true`. If `test_and_set` returns `true` (meaning `lock` was already `true`), the loop continues. If it returns `false` (meaning `lock` was `false` and is now set to `true`), the loop terminates, and the process enters the critical section. Thus, it repeatedly attempts to acquire the lock."
How many operands does the `compare_and_swap()` (CAS) instruction operate on atomically?,One,Two,Three,Four,Zero,C,"The text states, 'Operates on three operands atomically.' (value, expected, new_value)"
"Based on the definition of `compare_and_swap(int *value, int expected, int new_value)`, under what condition is `*value` modified to `new_value`?","Always, regardless of `expected`.",Only if `*value` is `0`.,Only if `*value` is NOT equal to `expected`.,Only if `*value` is equal to `expected`.,Only if `new_value` is `0`.,D,"The definition states: `if (*value == expected) *value = new_value;`, meaning `*value` is set to `new_value` ONLY if `(*value == expected)` is true."
What value does the `compare_and_swap()` instruction always return?,The `new_value`.,The `expected` value.,The original value of `value`.,"`0` if successful, `1` otherwise.",A boolean indicating success or failure.,C,"The definition of `compare_and_swap` shows `int temp = *value; ... return temp;`, which means it always returns the original value of `value`."
"Similar to `test_and_set()`, how do two `compare_and_swap()` instructions behave if they run simultaneously?","They both succeed, possibly leading to incorrect state.",They execute sequentially.,They cause a system crash.,"The one that arrived first is executed, the other is ignored.","They attempt to acquire the same lock, resulting in a deadlock.",B,"The text states, 'If two CAS instructions run simultaneously, they execute sequentially.' This is due to their atomic nature."
What is a known limitation of the basic `compare_and_swap()` mutual exclusion algorithm (without the `waiting` array)?,It does not guarantee mutual exclusion.,It consumes excessive CPU resources.,It does not satisfy the bounded-waiting requirement.,It is prone to livelock situations.,It can only be used by two processes.,C,The text explicitly states: 'Limitation: This basic algorithm satisfies mutual exclusion but NOT bounded waiting.'
"In the CAS-based mutual exclusion algorithm with bounded waiting, when does process $P_i$ enter the critical section?",Only if `lock` is 1 and `waiting[i]` is true.,Only if `waiting[i]` is `false` OR `key` is `0`.,"When `key` is 1, regardless of `waiting[i]`.",After `j` has cyclically scanned all other processes.,"When `compare_and_swap(&lock, 0, 1)` returns 1.",B,The 'Mutual Exclusion Proof' section states: '$P_i$ enters the critical section only if `waiting[i] == false || key == 0`.'
"In the CAS-based mutual exclusion with bounded waiting, when a process leaves its critical section, what mechanism ensures progress for other waiting processes?",It automatically broadcasts a signal to all processes.,"It immediately sets `lock` to 0, allowing the next process to contend.","It cyclically scans the `waiting` array and sets `waiting[j]` to `false` for the next process, or sets `lock` to 0.",It increments a global counter which then allows the next process.,It clears all `waiting` array elements.,C,The 'Process $P_i$ structure' and 'Progress Proof' show that a process exiting the critical section either sets `lock = 0` (if no one is waiting) or finds the next waiting process by cyclically scanning `waiting` array and sets `waiting[j]` to `false`.
What is the maximum number of turns a waiting process will take to enter its critical section in the CAS-based algorithm with bounded waiting?,1 turn.,2 turns.,"$n$ turns, where $n$ is the total number of processes.",$n-1$ turns.,An unbounded number of turns.,D,The 'Bounded-Waiting Proof' states: 'Any waiting process will enter its critical section within $n-1$ turns.'
"On Intel x86 architecture, which assembly instruction implements `compare_and_swap()`, and what prefix is used to enforce atomic execution?","`MOV`, `REP`","`XCHG`, `NOP`","`CMPXCHG`, `LOCK`","`PUSH`, `POP`","`LEA`, `VOLATILE`",C,The text specifies: 'Intel x86 Architecture: `cmpxchg` assembly instruction implements `compare_and_swap()`' and '`lock` prefix used to enforce atomic execution by locking the bus during destination operand update.'
For what primary purpose is `compare_and_swap()` often used as a building block rather than directly for general mutual exclusion?,To implement file system journaling.,To create more abstract synchronization tools.,To optimize network packet processing.,To manage virtual memory allocation.,To control CPU clock speed.,B,"The text states: '`compare_and_swap()` is often a building block for other synchronization tools, not used directly for mutual exclusion.'"
What is the definition of an 'atomic variable'?,A variable whose value can only be 0 or 1.,A variable that stores information about CPU atoms.,A programming language construct providing atomic operations on basic data types.,A variable that is accessible only by a single thread.,A variable used for cryptographic purposes.,C,The glossary defines 'atomic variable' as 'A programming language construct that provides atomic operations on basic data types such as integers and booleans.'
What specific type of race condition are atomic variables primarily designed to solve?,Deadlocks involving multiple resources.,"Ensuring mutual exclusion for single variable updates, like counter increments.",Orchestrating complex multi-threaded algorithms.,Managing distributed consensus across nodes.,Preventing starvation in priority-based scheduling.,B,"The text states their 'Purpose': 'Ensures mutual exclusion for single variable updates (e.g., counter increments) where data races might occur.'"
